id,employee_id,first_name,last_name,date,401k_amount
1,807-98-3943,Clareta,Calan,2016-02-23,87785
2,681-81-9934,Jocko,Rickwood,2017-06-06,89401
3,458-68-7451,Isador,Mueller,2018-08-10,37494
4,369-89-1954,Karee,Boddy,2019-01-19,97488
5,200-46-4502,Bobette,Sentinella,2016-06-26,70841
6,259-92-6811,Meghann,Bosworth,2017-12-09,9599
7,417-81-0945,Damon,Thames,2016-10-30,88427
8,332-77-1326,Elfrida,Swash,2017-12-20,14628
9,846-52-2788,Grady,Nordass,2018-03-15,10026
10,579-35-9131,Lishe,Chavey,2018-02-28,91277
11,694-62-2643,Dotty,Sabate,2017-10-10,50763
12,137-89-0877,Kort,O'Gaven,2017-06-28,63793
13,576-05-0482,Cecile,Whapham,2017-10-17,30497
14,846-75-1748,Aldus,Shilton,2016-04-14,95530
15,604-91-2091,Ara,Hollyland,2018-06-10,55112
16,267-23-4425,Maribelle,Badger,2016-03-28,99637
17,474-42-9251,Etti,Friatt,2016-06-17,11919
18,315-63-0497,Jarrett,Ebbers,2016-05-17,38973
19,477-70-3781,Casey,Wilcox,2018-11-02,26118
20,571-52-0466,Shell,Ferretti,2016-11-27,20603
21,319-03-8632,Fax,Haacker,2016-04-10,38366
22,602-75-7706,Jenn,Hartzog,2018-12-09,38916
23,317-57-0721,Pyotr,Wolton,2018-08-25,22691
24,603-01-2207,Deb,Rubinowitz,2016-09-18,46959
25,747-41-0414,Giovanni,Vahl,2018-10-12,53217
26,217-57-8783,Marthe,Manuelli,2018-03-04,83823
27,654-92-1445,Georgi,Franciskiewicz,2019-01-16,24628
28,136-29-8398,Aili,Waugh,2016-03-14,16989
29,355-85-2324,Delora,Tindley,2016-09-04,23755
30,753-19-5267,Sloan,Madre,2016-11-19,24808
31,661-85-4162,Darci,Cayzer,2016-02-12,99791
32,128-94-7145,Corty,Filewood,2018-10-13,38228
33,508-43-5777,Yank,Balint,2017-11-09,70376
34,125-52-4487,Hannis,Vautin,2018-08-01,80996
35,497-54-1621,Aila,Dredge,2019-02-24,37986
36,893-76-8331,Dana,Couche,2018-12-16,31392
37,222-61-5014,Von,Overell,2018-01-07,42092
38,130-03-0768,Benjamin,Swadling,2017-06-11,28385
39,850-88-0696,Ashbey,Creany,2017-12-21,44664
40,810-75-4553,Helen,Goldthorp,2017-08-11,24024
41,730-95-7076,Willetta,Basire,2017-08-19,64315
42,205-76-3630,Viviyan,Gavan,2018-09-10,85971
43,327-37-2269,Baron,Shadwick,2018-04-10,9544
44,763-47-8975,Luther,MacMichael,2016-11-09,60461
45,561-04-8414,Zandra,Londsdale,2016-05-15,81956
46,257-02-3527,Vin,Loseby,2017-04-22,323
47,282-62-7916,Neel,Huddart,2018-02-08,27389
48,218-99-6639,Maximilian,Ruffle,2018-04-13,91710
49,606-10-4175,Mikkel,Kittow,2018-01-09,14475
50,169-60-6269,Kassie,Newbegin,2016-07-01,5657
51,113-24-2322,Flynn,Tarburn,2018-10-08,53222
52,315-62-5117,Dulcy,Dobrowolny,2017-12-04,90731
53,721-93-3764,Annetta,Klemke,2017-01-06,56850
54,105-82-4574,Giusto,Cudby,2018-11-17,4870
55,582-26-7481,Bamby,Hassewell,2017-05-04,24578
56,329-53-8109,Tiebold,McAllen,2017-10-30,10490
57,524-64-2490,Jude,Tortoishell,2017-07-02,51476
58,431-39-1240,Hestia,Chateau,2018-07-17,6596
59,805-28-9278,Ariela,Davydzenko,2017-06-26,73654
